Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-642.1957802457        6.4630102594   		29495.8054061221
-641.9923936102        6.4630102594		29547.0085710168
-641.7007666518        6.4630102594		29612.4149615989
-641.5218475805        6.4630102594		29618.6045868557
-641.2398670310        6.4630102594		29633.6915410285
-641.1898298120        6.4630102594		29605.5701704535
-641.1374599903        6.4630102594		29598.6144575563
-641.2714647396        6.4630102594		29559.5251467032
-641.4273840178        6.4630102594		29504.8323887148
-641.4589557242        6.4630102594		29481.1747370110
-641.2986347448        6.4630102594		29505.6103509655
-640.9744456216        6.4630102594		29558.6121393093
-640.8852843367        6.4630102594		29540.7953132562
-641.1202374752        6.4630102594		29464.6441665325
-641.1577139008        6.4630102594		29440.7451685990
-641.0115089930        6.4630102594		29479.0752922005
-640.8148567762        6.4630102594		29550.0744941646
-640.5283222542        6.4630102594		29652.5907406655
-640.3587307295        6.4630102594		29735.7830871566
-640.2026617488        6.4630102594		29804.0920704912
-640.0907733593        6.4630102594		29851.5535839221
-640.0630965350        6.4630102594		29861.0070996130
-640.0473847221        6.4630102594		29852.9745118686
-640.0138591798        6.4630102594		29848.8201943229
-639.9215699202        6.4630102594		29837.1568485781
-640.1322807483        6.4630102594		29740.0647415620
-640.5201057019        6.4630102594		29618.9433173202
-640.6478642138        6.4630102594		29577.2943552962
-640.5566285872        6.4630102594		29603.3694030575
-640.4539445882        6.4630102594		29636.5701694405
-640.2394682981        6.4630102594		29696.1837444445
-640.0887033299        6.4630102594		29752.5980060102
-640.1276032504        6.4630102594		29764.8462636144
-640.0817312970        6.4630102594		29767.5911875975
-640.1846693655        6.4630102594		29736.0901250152
-640.0207536436        6.4630102594		29754.4198837800
-639.9946336613        6.4630102594		29727.0503623572
-640.1723106047        6.4630102594		29661.4300748908
-640.4355241511        6.4630102594		29590.1477650699
-640.6224952446        6.4630102594		29557.4638897825
-640.3154999374        6.4630102594		29639.8171301013
-640.4021222139        6.4630102594		29607.7618784551
-640.6432042968        6.4630102594		29555.9721436518
-640.5180951503        6.4630102594		29613.3540078177
-640.2301358170        6.4630102594		29717.4094482820
-640.1320102273        6.4630102594		29750.9983346533
-640.3357485922        6.4630102594		29674.2707356042
-640.4875284306        6.4630102594		29606.4189238175
-640.5041160610        6.4630102594		29593.0237810217
-640.4516285275        6.4630102594		29613.1590349178
-640.6220274004        6.4630102594		29573.9836776494
-640.7405790744        6.4630102594		29517.5493026051
-640.8257090439        6.4630102594		29464.4513635965
-640.8290550592        6.4630102594		29472.7505164063
-640.6314672344        6.4630102594		29572.5182538457
-640.4001530588        6.4630102594		29668.7357098746
-640.2284552588        6.4630102594		29719.4270751935
-640.1004701263        6.4630102594		29748.4056915369
-640.2399901807        6.4630102594		29712.7525622077
-640.3399883285        6.4630102594		29683.1239355318
-640.5025853635        6.4630102594		29629.5430375539
-640.7619460200        6.4630102594		29539.4589475204
-640.7727218893        6.4630102594		29530.9566775131
-640.5922604963        6.4630102594		29579.5090075479
-640.4464560503        6.4630102594		29626.2875558756
-640.3879757313        6.4630102594		29662.6001581418
-640.3623812239        6.4630102594		29675.3952198259
-640.4898074944        6.4630102594		29650.7399825493
-640.6553483062        6.4630102594		29599.7820104522
-640.8005144290        6.4630102594		29533.4495908924
-640.7417004329        6.4630102594		29531.2438826684
-640.4192240963        6.4630102594		29621.0494137212
-640.2630484052        6.4630102594		29701.5598209338
-640.2293587954        6.4630102594		29735.5750270650
-640.3073873685        6.4630102594		29717.1915538555
-640.2568452105        6.4630102594		29713.9656640195
-640.3220935737        6.4630102594		29667.5739320804
-640.4388648575        6.4630102594		29640.0076984531
-640.4184443926        6.4630102594		29674.1281614233
-640.1658077190        6.4630102594		29751.0566533266
-639.9720310216        6.4630102594		29803.8104824105
-639.9363592253        6.4630102594		29811.9185143086
-640.0448695498        6.4630102594		29767.1278479812
-640.0716610073        6.4630102594		29740.8622002574
-640.0419448814        6.4630102594		29749.7930970795
-640.0128651494        6.4630102594		29770.8032216881
-639.8942154085        6.4630102594		29819.8712233658
-639.8960138270        6.4630102594		29811.5340478051
-640.0975475080        6.4630102594		29752.3840512268
-640.2546884770        6.4630102594		29726.6467262430
-640.2935225712        6.4630102594		29718.0973926198
-640.3869434275        6.4630102594		29675.2317510860
-640.2905328013        6.4630102594		29674.1224134103
-640.5612198956        6.4630102594		29611.6941178185
-640.6088585881        6.4630102594		29575.0218001288
-640.5666783850        6.4630102594		29563.3673735530
-640.5968451537        6.4630102594		29562.1125891123
-640.7272858742        6.4630102594		29535.2912799272
-640.8023647283        6.4630102594		29507.4207361601
-640.9364797939        6.4630102594		29479.7184820749
-640.9063966778        6.4630102594		29491.4133329900
-640.7444908247        6.4630102594		29535.1098036218
-640.7833585304        6.4630102594		29533.0963974370
-640.6894217383        6.4630102594		29577.6912471744
-640.4665742772        6.4630102594		29649.7335098061
-640.1944849693        6.4630102594		29735.6436825001
-640.0207834126        6.4630102594		29815.9619185219
-639.7277217296        6.4630102594		29899.4472619282
-639.5456489569        6.4630102594		29926.1992759718
-639.7261326448        6.4630102594		29861.2398921807
-639.9508864644        6.4630102594		29780.4080042142
-640.0865213387        6.4630102594		29743.0520007300
-640.0927694785        6.4630102594		29750.6081806564
-640.2186758972        6.4630102594		29722.4466449728
-640.2138337750        6.4630102594		29689.9823822043
-640.2992781850        6.4630102594		29654.3353575618
-640.0898496514        6.4630102594		29703.8083374078
-640.1705309726        6.4630102594		29679.2702394847
-640.5961866493        6.4630102594		29564.1606990284
-640.7751391965        6.4630102594		29516.2546757775
-640.7732994242        6.4630102594		29514.3852809439
-640.7199389796        6.4630102594		29528.5015609839
-640.5233437928        6.4630102594		29602.3014350123
-640.1267119781        6.4630102594		29733.3472969764
-640.1170182622        6.4630102594		29788.6261547099
-639.9726764305        6.4630102594		29846.1197771132
-640.0745995969        6.4630102594		29803.0992544754
-640.3181457887        6.4630102594		29704.0509681214
-640.4664175179        6.4630102594		29638.6196308509
-640.6325552853        6.4630102594		29570.7227103808
-640.7405581999        6.4630102594		29512.5733082811
-640.8521127171        6.4630102594		29463.0366125717
-640.8213858568        6.4630102594		29466.2455474850
-640.8562023301        6.4630102594		29468.3661872165
-640.7899982441        6.4630102594		29515.2460397337
-640.5009353691        6.4630102594		29626.1686859859
-640.3720656458        6.4630102594		29684.8969163976
-640.4990387563        6.4630102594		29647.0516954149
-640.8402627619        6.4630102594		29526.7662710197
-641.0433753219        6.4630102594		29443.4990581580
-640.9277451897        6.4630102594		29463.4382321394
-640.7157958878        6.4630102594		29534.2159193125
-640.4600921143        6.4630102594		29613.8784269526
-640.4412333745        6.4630102594		29613.2971638580
-640.5257079333        6.4630102594		29585.4070899757
-640.6074713229        6.4630102594		29564.6351783990
-640.6200109042        6.4630102594		29563.3158790033
-640.6062146280        6.4630102594		29562.4512913637
-640.6728580820        6.4630102594		29531.0136215013
-640.6720136122        6.4630102594		29501.9992136761
-640.7620326550        6.4630102594		29480.2670465361
-640.7561786742        6.4630102594		29492.6566710192
-640.6314005783        6.4630102594		29552.2259946320
-640.2201387946        6.4630102594		29696.8829649902
-639.7901308073        6.4630102594		29843.1578082937
-639.6262535027        6.4630102594		29916.0908982087
-639.5327239454        6.4630102594		29930.9841339902
-639.6802906969        6.4630102594		29874.0942297250
-640.1653465690        6.4630102594		29732.5419205375
-640.4569068315        6.4630102594		29624.5797286013
-640.4551027614        6.4630102594		29586.3324489355
-640.2109728711        6.4630102594		29609.7946496581
-640.3976509089        6.4630102594		29594.2702178152
-640.3048460028        6.4630102594		29645.4346961013
-640.2240810622        6.4630102594		29693.2028495127
-640.1255711402        6.4630102594		29742.8414812402
-640.1413663310        6.4630102594		29732.4095002844
-640.3766656795        6.4630102594		29667.1974050123
-640.2192137235        6.4630102594		29698.4759516273
-640.1807222682        6.4630102594		29688.8488098802
-640.3039462670        6.4630102594		29637.5604337366
-640.5053182347        6.4630102594		29597.7564212786
-640.3394553205        6.4630102594		29637.0932943053
-640.2289098000        6.4630102594		29664.0605436844
-640.2408309923        6.4630102594		29645.7406902364
-640.4709918758        6.4630102594		29579.9815113444
-640.6031148843        6.4630102594		29553.8919041197
-640.6455647415        6.4630102594		29547.4836295719
-640.5514227115        6.4630102594		29547.8152505827
-640.4507233114        6.4630102594		29555.9268158178
-640.3911834182        6.4630102594		29583.3556057318
-640.4033213956        6.4630102594		29611.5405907158
-640.5413046015        6.4630102594		29600.1307438559
-640.6567243136        6.4630102594		29579.9601877162
-640.5293613781        6.4630102594		29616.7578019232
-640.2512012326        6.4630102594		29685.1268534319
-640.5561731805        6.4630102594		29626.2970986870
-640.6355753216        6.4630102594		29606.5105947771
-640.6688721006        6.4630102594		29593.5692995954
-640.7274155764        6.4630102594		29563.5040212544
-640.9400532281        6.4630102594		29485.8215929616
-641.1308674379        6.4630102594		29425.5225237005
-641.0690437900        6.4630102594		29436.3342433470
-640.8891194255        6.4630102594		29488.4844592968
-640.5124843197        6.4630102594		29569.0596071785
-640.3894544421        6.4630102594		29579.9808352963
-640.5244176372        6.4630102594		29565.0078163834
-640.5225001306        6.4630102594		29588.9879844302
-640.5743743092        6.4630102594		29587.9291836965
-640.6660158194        6.4630102594		29570.3392600877
-640.6652579475        6.4630102594		29590.5864975446
-640.5998038342        6.4630102594		29623.7588001649
-640.6593414907        6.4630102594		29612.9091421754
-640.8620555381        6.4630102594		29555.6539655670
-640.8113243202        6.4630102594		29547.7167368844
-640.6406241945        6.4630102594		29560.5291524069
-640.7873419861        6.4630102594		29520.7959196738
-640.8802310264        6.4630102594		29506.4671220383
