Potential energy (Ha)	Kinetic Energy (Ha)	Pressure (GPa)
-641.5259043220	        0.7755612311   		27842.0815806531
-641.6643978206        	0.7755612311		27765.5537808532
-642.1449349406        	0.7755612311		27561.6682065947
-642.5942716866        	0.7755612311		27370.0260182874
-642.9417373140        	0.7755612311		27221.2939699626
-643.2015785890        	0.7755612311		27110.9757412760
-643.3906767289        	0.7755612311		27031.7045388407
-643.5161076428        	0.7755612311		26978.7295462129
-643.5836384951        	0.7755612311		26948.4691687053
-643.6094757999        	0.7755612311		26934.5426529438
-643.6247526554        	0.7755612311		26927.0478306330
-643.6590556371        	0.7755612311		26917.2686703074
-643.7103911110        	0.7755612311		26905.3763694505
-643.7578661445        	0.7755612311		26896.5218284467
-643.7902581051        	0.7755612311		26893.6551881660
-643.8100549339        	0.7755612311		26895.3359625105
-643.8305902422        	0.7755612311		26895.0810330755
-643.8622906433        	0.7755612311		26888.8560308704
-643.8974371983        	0.7755612311		26879.5938263087
-643.9213478342        	0.7755612311		26873.8093590252
-643.9303639776        	0.7755612311		26873.0784446015
-643.9332749447        	0.7755612311		26873.9770293039
-643.9370960291        	0.7755612311		26872.3183317955
-643.9397333802        	0.7755612311		26868.6124330356
-643.9435281049        	0.7755612311		26863.2999759799
-643.9536923934        	0.7755612311		26856.6741861793
-643.9642387749        	0.7755612311		26851.0058210264
-643.9731543440        	0.7755612311		26845.1492989177
-643.9905098324        	0.7755612311		26834.7464654832
-644.0197330111        	0.7755612311		26819.2176117750
-644.0516883226        	0.7755612311		26802.4260234257
-644.0745888310        	0.7755612311		26789.1843679974
-644.0847087014        	0.7755612311		26779.8957514854
-644.0875264668        	0.7755612311		26772.3022384357
-644.0873408158        	0.7755612311		26765.1505297932
-644.0856697991        	0.7755612311		26758.8220956508
-644.0855377606        	0.7755612311		26753.4428713245
-644.0883574574        	0.7755612311		26748.8893571103
-644.0936073236        	0.7755612311		26744.7401353019
-644.1023212895        	0.7755612311		26740.0462001891
-644.1137281170        	0.7755612311		26735.2335406855
-644.1202665425        	0.7755612311		26733.0672881778
-644.1130366222        	0.7755612311		26736.3843231968
-644.0934420386        	0.7755612311		26745.9933662139
-644.0718126088        	0.7755612311		26757.8295675033
-644.0556932445        	0.7755612311		26767.6322418476
-644.0486300367        	0.7755612311		26771.5401414308
-644.0517868864        	0.7755612311		26768.1721245725
-644.0615832654        	0.7755612311		26760.7356205523
-644.0751113824        	0.7755612311		26752.9376501142
-644.0868116103        	0.7755612311		26747.5080537506
-644.0867842005        	0.7755612311		26748.2208950074
-644.0727720999        	0.7755612311		26755.3127208361
-644.0502061821        	0.7755612311		26767.7319591474
-644.0286389344        	0.7755612311		26780.4903574739
-644.0216374183        	0.7755612311		26787.0301961745
-644.0339596963        	0.7755612311		26783.6052614105
-644.0542069749        	0.7755612311		26774.5830178778
-644.0691762999        	0.7755612311		26766.2590071510
-644.0761288289        	0.7755612311		26762.7313681282
-644.0791761685        	0.7755612311		26765.1862429760
-644.0830373728        	0.7755612311		26772.4578342271
-644.0881494088        	0.7755612311		26781.4007976484
-644.0912866121        	0.7755612311		26789.4408196989
-644.0851217132        	0.7755612311		26796.3361628364
-644.0601760062        	0.7755612311		26804.1070447571
-644.0252784757        	0.7755612311		26812.4913588487
-644.0021261658        	0.7755612311		26816.6093163990
-643.9980343597        	0.7755612311		26815.5514450497
-644.0086348092        	0.7755612311		26811.1659000600
-644.0258085281        	0.7755612311		26806.8908203686
-644.0412768179        	0.7755612311		26804.2328812496
-644.0521228713        	0.7755612311		26800.7683366307
-644.0659968189        	0.7755612311		26793.2591700233
-644.0889254899        	0.7755612311		26779.5983060748
-644.1101274940        	0.7755612311		26765.0188690721
-644.1146514387        	0.7755612311		26756.1485478433
-644.1018166893        	0.7755612311		26754.4990279741
-644.0853466821        	0.7755612311		26757.1340357545
-644.0802593021        	0.7755612311		26758.7280999118
-644.0941823693        	0.7755612311		26756.8856034582
-644.1197524974        	0.7755612311		26753.0550538592
-644.1373379742        	0.7755612311		26751.5638518031
-644.1330703565        	0.7755612311		26756.3585375968
-644.1133908920        	0.7755612311		26764.3730116952
-644.0987230159        	0.7755612311		26769.2973795741
-644.0976494966        	0.7755612311		26767.3923394299
-644.1029620109        	0.7755612311		26760.0419614646
-644.1063215437        	0.7755612311		26751.8343751531
-644.1034936910        	0.7755612311		26746.7054411465
-644.0964662107        	0.7755612311		26746.4598536090
-644.0908947331        	0.7755612311		26750.2474583011
-644.0848754497        	0.7755612311		26757.1263287323
-644.0695566657        	0.7755612311		26766.6051798812
-644.0480725467        	0.7755612311		26774.6566678167
-644.0361878861        	0.7755612311		26776.3075944949
-644.0382247406        	0.7755612311		26770.8491447705
-644.0432356658        	0.7755612311		26762.6236407684
-644.0448178385        	0.7755612311		26755.0002979716
-644.0450181049        	0.7755612311		26749.0581324976
-644.0452617674        	0.7755612311		26745.1258522428
-644.0419711376        	0.7755612311		26744.1877362952
-644.0333083214        	0.7755612311		26745.7399884530
-644.0236502057        	0.7755612311		26748.4698797845
-644.0177011564        	0.7755612311		26751.7167474330
-644.0135442836        	0.7755612311		26757.0384966337
-644.0018020357        	0.7755612311		26767.8042817484
-643.9791012171        	0.7755612311		26783.5241422772
-643.9576272248        	0.7755612311		26798.8302073253
-643.9590333513        	0.7755612311		26804.7770911125
-643.9878567617        	0.7755612311		26798.8606889848
-644.0212922549        	0.7755612311		26788.4296513632
-644.0382438360        	0.7755612311		26781.5681250802
-644.0357170597        	0.7755612311		26781.2416894088
-644.0258326435        	0.7755612311		26785.4133883480
-644.0223591560        	0.7755612311		26788.8343952747
-644.0257439720        	0.7755612311		26790.8733171678
-644.0318139586        	0.7755612311		26792.2167896043
-644.0465635321        	0.7755612311		26790.6569954320
-644.0765463512        	0.7755612311		26783.3117777720
-644.1090708678        	0.7755612311		26773.5937421978
-644.1206850137        	0.7755612311		26769.4970558606
-644.1019892769        	0.7755612311		26775.0797976414
-644.0627556630        	0.7755612311		26788.6408778574
-644.0197488207        	0.7755612311		26804.7414988878
-643.9872468413        	0.7755612311		26817.0395710064
-643.9775822074        	0.7755612311		26819.5988220850
-643.9954770800        	0.7755612311		26810.3414033840
-644.0301016032        	0.7755612311		26793.4253520773
-644.0705248840        	0.7755612311		26773.9880425055
-644.1121379073        	0.7755612311		26756.1184053957
-644.1494767832        	0.7755612311		26741.6007941134
-644.1743496542        	0.7755612311		26733.7072146966
-644.1795719772        	0.7755612311		26733.8749197432
-644.1658513330        	0.7755612311		26740.8119412904
-644.1427005657        	0.7755612311		26750.6305312791
-644.1183706062        	0.7755612311		26759.9811505593
-644.0953769589        	0.7755612311		26767.6452760989
-644.0672975605        	0.7755612311		26776.0095380057
-644.0286585908        	0.7755612311		26786.9911968011
-643.9921350247        	0.7755612311		26797.8877309120
-643.9773655662        	0.7755612311		26803.0389371298
-643.9854943215        	0.7755612311		26801.7499985943
-644.0001063228        	0.7755612311		26798.5335492112
-644.0106078051        	0.7755612311		26796.3478250395
-644.0233366644        	0.7755612311		26791.9082044034
-644.0478061032        	0.7755612311		26782.4545557714
-644.0833027079        	0.7755612311		26768.2186119917
-644.1203972701        	0.7755612311		26753.1337862594
-644.1446261419        	0.7755612311		26742.9328737377
-644.1420750263        	0.7755612311		26743.2403930804
-644.1058532252        	0.7755612311		26756.5593842337
-644.0483339324        	0.7755612311		26779.2152177882
-643.9982130000        	0.7755612311		26800.4136033436
-643.9828305529        	0.7755612311		26807.9889582103
-644.0141831200        	0.7755612311		26796.4522979419
-644.0765005392        	0.7755612311		26772.0242287373
-644.1374405910        	0.7755612311		26747.1439868602
-644.1727811723        	0.7755612311		26732.0719712584
-644.1754969646        	0.7755612311		26729.4383657012
-644.1534263419        	0.7755612311		26736.9588396217
-644.1231852497        	0.7755612311		26748.9082344317
-644.1004968141        	0.7755612311		26758.6969843593
-644.0953977796        	0.7755612311		26763.2140430711
-644.1083393917        	0.7755612311		26761.5985019292
-644.1278800051        	0.7755612311		26757.1380960301
-644.1371884047        	0.7755612311		26755.8055736372
-644.1285275903        	0.7755612311		26759.8352781843
-644.1153341671        	0.7755612311		26764.6596999261
-644.1175199965        	0.7755612311		26762.6987681580
-644.1376028319        	0.7755612311		26753.3799410213
-644.1583648391        	0.7755612311		26742.4929193490
-644.1622154995        	0.7755612311		26737.0667512872
-644.1499702464        	0.7755612311		26737.9625949803
-644.1327784436        	0.7755612311		26742.6319825718
-644.1162834174        	0.7755612311		26748.2499307216
-644.0986297284        	0.7755612311		26754.6855562338
-644.0812788878        	0.7755612311		26761.5358727020
-644.0637780652        	0.7755612311		26769.6921066534
-644.0415319343        	0.7755612311		26779.2638758340
-644.0180757742        	0.7755612311		26787.7768474114
-643.9998663022        	0.7755612311		26793.6361575887
-643.9875255632        	0.7755612311		26796.6903959960
-643.9757171989        	0.7755612311		26800.6686603844
-643.9553588498        	0.7755612311		26809.2420284423
-643.9308321108        	0.7755612311		26819.5454579486
-643.9267958049        	0.7755612311		26822.9549496945
-643.9538247514        	0.7755612311		26813.6081720866
-643.9899003145        	0.7755612311		26798.2459243206
-644.0094575830        	0.7755612311		26787.4551001941
-644.0054963696        	0.7755612311		26786.0516717271
-643.9900167675        	0.7755612311		26791.0331779402
-643.9861546204        	0.7755612311		26794.2080736449
-644.0024633525        	0.7755612311		26791.1367191341
-644.0250938332        	0.7755612311		26783.5189219440
-644.0442335557        	0.7755612311		26773.5054637564
-644.0620942685        	0.7755612311		26761.6149640869
-644.0795632377        	0.7755612311		26749.0422975727
-644.0939720528        	0.7755612311		26738.2060096964
-644.1113296384        	0.7755612311		26730.0400391243
-644.1412549673        	0.7755612311		26723.1122603684
-644.1748796857        	0.7755612311		26718.0594929431
-644.1905901862        	0.7755612311		26720.2564223838
-644.1722495649        	0.7755612311		26733.6349148551
-644.1251017288        	0.7755612311		26756.0953940215
-644.0714928401        	0.7755612311		26780.8308784079
-644.0340727028        	0.7755612311		26800.2944872007
-644.0268641621        	0.7755612311		26809.5720385158
-644.0426722300        	0.7755612311		26811.0188181342
-644.0643312988        	0.7755612311		26808.9861230287
-644.0833523056        	0.7755612311		26804.8343190781
-644.0980015850        	0.7755612311		26797.4622208278
-644.1144927739        	0.7755612311		26786.6002451569
-644.1393643056        	0.7755612311		26772.4613257889
-644.1492121264        	0.7755612311		26762.2818371831
-644.1344048649        	0.7755612311		26759.8654483262
-644.1106268685        	0.7755612311		26762.8627213502
-644.0925444997        	0.7755612311		26766.7745413941
-644.0819247505        	0.7755612311		26769.5894923859
-644.0761555605        	0.7755612311		26770.6193345178
-644.0715057073        	0.7755612311		26770.1279900285
-644.0601657619        	0.7755612311		26771.3910197902
-644.0413554115        	0.7755612311		26776.5377982711
-644.0245298127        	0.7755612311		26783.8664348045
-644.0184316222        	0.7755612311		26790.0006226046
-644.0257975801        	0.7755612311		26791.5611241876
-644.0432190354        	0.7755612311		26787.1162120019
-644.0648810564        	0.7755612311		26778.4673792738
-644.0833078231        	0.7755612311		26768.6412925163
-644.0921777369        	0.7755612311		26760.0840541995
-644.0931499666        	0.7755612311		26752.9884869135
-644.0897728274        	0.7755612311		26747.1033146541
-644.0869120517        	0.7755612311		26741.7914066269
-644.0899724581        	0.7755612311		26735.6559272514
-644.0987033057        	0.7755612311		26730.1224057742
-644.1043005516        	0.7755612311		26728.1830977433
-644.0971251965        	0.7755612311		26731.9257274193
